#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2005-11-16T04:35:09
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml18178	

#RESOURCE=1239
#Name: I/239
#Title:	The Hipparcos and Tycho Catalogues (ESA 1997)
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title:	The Hipparcos Main Catalogue\vizContent{timeSerie}
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	HIP	(I6)	Identifier (HIP number) (H1)        (link)	[ucd=ID_MAIN]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=POS_EQ_RA_MAIN]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=POS_EQ_DEC_MAIN]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=PHOT_JHN_V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=PHOT_JHN_B-V]

recno;HIP;RAhms;DEdms;Vmag;B-V
   63888; 63943;13 06 15.57;-55 36 42.0; 6.95; 1.596
   63896; 63951;13 06 22.71;+22 16 47.4; 6.83; 0.313
   63926; 63981;13 06 37.87;-31 36 42.5; 6.75; 1.019
   63975; 64030;13 07 19.76;+00 35 06.7; 7.00; 0.498
   64034; 64089;13 08 02.44;+24 49 51.8; 6.81; 0.933
   64056; 64111;13 08 21.96;-36 13 26.9; 6.85; 0.325
   64078; 64133;13 08 39.44;-23 06 23.0; 6.69; 1.120
   64095; 64150;13 08 50.97;+05 12 31.9; 6.78; 0.667
   64114; 64169;13 09 05.69;+18 37 32.4; 6.94; 1.490
   64144; 64199;13 09 27.58;-48 31 28.7; 6.84; 0.443
   64163; 64218;13 09 42.41;-16 30 54.7; 6.75; 0.168
   64176; 64231;13 09 50.21;+62 13 44.9; 6.52;-0.009
   64246; 64302;13 10 46.05;+34 18 02.6; 6.89; 0.486
   64251; 64307;13 10 49.87;-52 54 27.3; 6.67; 1.107
   64256; 64312;13 10 52.34;+21 14 02.0; 6.82; 0.420
   64289; 64346;13 11 21.71;-13 57 44.2; 6.92; 1.097
   64306; 64362;13 11 30.43;-35 07 47.7; 6.63; 1.139
   64309; 64365;13 11 32.36;+21 55 07.4; 6.82; 0.880
   64314; 64370;13 11 36.08;-56 54 32.3; 6.79; 1.684
   64322; 64378;13 11 40.59;-11 13 17.9; 6.89; 1.232
   64342; 64398;13 11 55.56;-61 07 02.4; 6.74; 0.469
   64349; 64405;13 12 02.03;+32 05 07.0; 6.71; 0.480
   64393; 64449;13 12 35.95;+18 45 06.4; 6.51; 0.859
   64403; 64459;13 12 44.40;-31 52 21.4; 6.68; 0.591
   64414; 64470;13 12 49.53;+42 37 35.8; 6.79; 0.947
   64426; 64482;13 13 00.43;+67 18 34.8; 6.96; 1.145
   64428; 64484;13 13 03.50;+38 16 38.6; 6.83; 0.474
   64466; 64522;13 13 28.26;+67 17 16.6; 6.52; 1.146
   64471; 64527;13 13 31.95;+72 47 56.9; 6.57; 0.088
   64476; 64532;13 13 36.89;+56 42 29.9; 6.82; 0.603
   64487; 64543;13 13 44.63;+32 31 49.7; 6.68; 0.797
   64494; 64550;13 13 52.32;-45 11 07.9; 6.93; 0.643
   64500; 64556;13 13 57.60;+01 27 23.6; 6.55; 1.383
   64507; 64564;13 14 01.92;-62 39 14.0; 6.82; 0.998
   64534; 64590;13 14 20.16;-42 51 07.5; 6.72; 1.083
   64542; 64598;13 14 25.50;-75 10 16.1; 6.98; 1.503
   64547; 64603;13 14 27.58;-24 17 03.4; 6.66; 0.400
   64568; 64624;13 14 44.39;-63 34 51.8; 6.87; 0.112
   64569; 64625;13 14 45.13;-10 22 13.0; 6.95; 1.542
   64592; 64648;13 15 08.63;+35 26 44.8; 6.80; 0.182
   64598; 64654;13 15 10.24;+18 55 08.0; 6.55; 1.470
   64655; 64711;13 15 46.94;+07 57 10.7; 6.75; 1.163
   64683; 64739;13 16 06.66;-57 03 41.7; 6.95; 0.323
   64693; 64749;13 16 12.76;-52 24 53.1; 6.89; 1.030
   64713; 64769;13 16 25.50;-01 23 25.7; 6.69; 0.314
   64722; 64778;13 16 31.85;-44 42 15.8; 6.85; 2.867
   64725; 64781;13 16 36.74;+18 54 11.7; 6.72; 1.003
   64772; 64828;13 17 22.02;-11 29 00.8; 6.61; 0.264
   64778; 64834;13 17 27.38;-10 32 46.8; 6.89; 0.338
   64787; 64843;13 17 31.78;-15 32 52.5; 6.68; 1.051
   64811; 64867;13 17 44.66;-47 35 23.7; 6.63;-0.005
   64820; 64876;13 17 55.45;-68 29 44.3; 6.68; 0.058
   64836; 64892;13 18 05.13;-44 03 19.2; 6.80;-0.018
   64858; 64914;13 18 19.87;-63 26 56.9; 6.78; 0.748
   64864; 64920;13 18 23.46;-28 19 56.3; 6.80; 0.981
   64868; 64925;13 18 24.93;-45 45 52.6; 6.87;-0.006
   64898; 64954;13 18 51.15;+03 41 15.6; 6.62; 0.056
   64927; 64983;13 19 06.70;+03 43 22.3; 6.91; 1.114
   64959; 65015;13 19 38.41;-60 38 06.6; 6.98; 1.868
   64990; 65046;13 19 58.55;-41 11 26.5; 6.73; 0.519
   64994; 65050;13 20 02.13;-62 31 35.8; 6.91; 1.287
   65011; 65067;13 20 14.69;+03 17 15.2; 6.96; 1.148
   65018; 65074;13 20 20.05;-11 18 14.8; 6.73; 1.000
   65079; 65135;13 20 51.13;+43 59 24.4; 6.51; 0.424
   65095; 65151;13 21 04.80;-24 28 12.9; 6.89; 1.653
   65098; 65154;13 21 07.31;+47 16 11.1; 6.97; 0.900
   65103; 65159;13 21 10.87;+37 51 25.6; 6.93; 0.554
   65122; 65178;13 21 25.93;-43 38 03.4; 6.67;-0.024
   65178; 65235;13 22 06.40;-14 25 11.2; 6.84; 1.507
   65180; 65236;13 22 07.42;-60 11 05.9; 6.92;-0.015
   65183; 65239;13 22 08.25;-12 34 46.3; 6.88; 1.610
   65189; 65245;13 22 15.07;+30 17 31.3; 6.80; 1.357
   65209; 65265;13 22 30.99;-06 12 06.5; 6.63; 0.692
   65253; 65309;13 23 05.50;+47 00 07.0; 6.64; 1.552
   65316; 65373;13 23 52.72;-47 53 25.8; 6.77; 1.034
   65357; 65413;13 24 25.99;-51 52 30.7; 6.68; 1.333
   65358; 65414;13 24 26.11;-04 18 31.1; 6.82; 1.080
   65447; 65503;13 25 31.33;-68 31 41.1; 6.98; 1.057
   65453; 65509;13 25 40.09;+15 33 50.6; 6.83; 1.242
   65472; 65528;13 25 58.05;-35 04 33.0; 6.82; 1.627
   65476; 65532;13 26 06.25;-16 51 31.0; 6.56; 1.160
   65483; 65539;13 26 08.15;-32 32 50.2; 6.85; 0.356
   65495; 65551;13 26 16.73;-48 47 11.6; 6.70; 0.032
   65501; 65557;13 26 26.46;-34 00 34.6; 6.87; 0.944
   65546; 65603;13 27 04.70;+64 44 07.6; 6.64; 0.383
   65571; 65628;13 27 18.58;-74 41 30.2; 6.62;-0.056
   65641; 65698;13 28 11.89;+50 35 13.9; 6.96; 0.277
   65652; 65709;13 28 18.75;+31 08 57.2; 6.94; 1.386
   65703; 65760;13 28 54.93;-62 06 08.2; 6.64; 1.076
   65742; 65798;13 29 16.08;-45 32 16.0; 6.61;-0.042
   65756; 65813;13 29 29.19;-18 43 44.6; 6.88; 1.403
   65765; 65822;13 29 36.18;-47 52 32.8; 6.94; 0.080
   65782; 65839;13 29 47.12;+01 05 44.1; 6.59; 0.284
   65798; 65855;13 29 57.65;+06 00 48.2; 6.51; 0.956
   65834; 65891;13 30 25.30;-58 39 51.6; 6.75; 1.003
   65854; 65911;13 30 39.14;+09 19 00.7; 6.88; 1.036
   65863; 65920;13 30 51.43;-03 02 59.7; 6.91; 1.030
   65892; 65949;13 31 13.22;-13 26 55.6; 6.93; 0.337
   65899; 65955;13 31 22.50;-42 27 52.9; 6.56; 0.962
   65913; 65970;13 31 33.42;-61 34 56.5; 6.66; 0.777
   65948; 66005;13 31 57.83;-65 19 18.5; 6.62; 0.290
   65966; 66023;13 32 10.88;-79 39 38.7; 6.69; 1.385
   65985; 66042;13 32 22.00;+36 49 05.6; 6.82; 0.760
   66000; 66057;13 32 32.77;-69 13 54.1; 7.00; 0.734
   66032; 66089;13 32 51.02;+34 54 25.8; 6.78; 0.236
   66056; 66113;13 33 09.18;+05 51 10.9; 6.64; 0.935
   66063; 66121;13 33 14.66;-77 34 08.5; 6.52; 0.455
   66071; 66128;13 33 22.60;+33 39 27.7; 6.68; 1.186
   66082; 66139;13 33 29.50;-43 25 21.8; 6.65; 0.469
   66114; 66171;13 33 47.80;-39 56 44.5; 6.69; 0.156
   66218; 66275;13 35 01.72;+12 30 50.2; 6.56; 1.047
   66232; 66289;13 35 11.15;-62 37 50.4; 6.70; 0.944
   66233; 66290;13 35 11.57;+22 29 57.9; 6.91; 0.466
   66235; 66292;13 35 12.29;-32 12 44.4; 6.77; 0.368
   66238; 66294;13 35 14.11;+44 11 49.2; 6.83; 0.205
   66288; 66345;13 35 52.08;+08 17 33.9; 6.93; 1.475
   66319; 66376;13 36 26.17;-42 24 55.3; 6.82; 0.245
   66323; 66380;13 36 33.59;+52 41 15.3; 6.93; 1.549
   66341; 66398;13 36 48.37;-26 29 52.8; 6.72; 0.240
   66365; 66422;13 37 02.73;+67 02 11.1; 6.70; 0.989
   66383; 66440;13 37 12.76;+52 35 35.1; 6.73; 1.497
   66418; 66475;13 37 42.94;+50 42 53.4; 6.51; 1.555
   66419; 66476;13 37 44.01;+02 22 56.5; 6.66; 1.185
   66425; 66482;13 37 46.95;-03 14 09.4; 6.68; 1.231
   66454; 66511;13 38 01.01;+22 31 39.2; 6.99; 0.958
   66458; 66515;13 38 03.46;-42 45 54.0; 6.97; 1.658
   66466; 66524;13 38 09.07;-50 20 59.6; 6.64;-0.076
   66519; 66577;13 38 50.37;-33 06 40.5; 7.00;-0.042
   66552; 66610;13 39 13.89;+10 30 35.2; 6.64; 1.463
   66560; 66618;13 39 19.90;-67 40 13.3; 6.97; 0.618
   66605; 66663;13 39 58.52;-16 26 47.5; 6.71; 1.488
   66610; 66668;13 40 00.59;-70 47 16.0; 6.59; 1.291
   66621; 66679;13 40 08.77;-27 34 39.9; 6.80; 1.433
   66664; 66722;13 40 37.67;-44 19 48.7; 6.57; 0.053
   66672; 66728;13 40 40.94;+76 50 37.6; 6.69; 0.219
   66677; 66735;13 40 43.34;+52 46 18.8; 6.88; 1.036
   66707; 66765;13 41 04.03;-34 27 49.5; 6.92; 0.855
   66724; 66782;13 41 13.57;-46 01 41.7; 6.70; 1.024
   66725; 66783;13 41 13.65;-71 52 06.1; 6.91; 1.801
   66742; 66800;13 41 30.86;-23 26 59.3; 6.60; 0.057
   66744; 66802;13 41 36.61;-45 29 37.5; 6.89; 1.265
   66750; 66806;13 41 39.50;-75 06 55.3; 6.90; 0.461
   66767; 66825;13 41 45.58;-33 35 50.6; 6.58; 1.584
   66799; 66857;13 42 06.33;+65 16 23.1; 6.60; 0.135
   66816; 66874;13 42 20.78;-33 58 49.9; 6.66; 0.424
   66835; 66893;13 42 30.94;+55 43 39.6; 6.91; 1.130
   66846; 66904;13 42 40.57;-61 44 16.2; 6.86; 0.264
   66852; 66910;13 42 44.51;-61 53 31.3; 6.87; 1.135
   66900; 66958;13 43 25.86;+45 31 12.9; 6.69; 1.160
   66916; 66974;13 43 35.89;+14 21 56.3; 6.92; 0.631
   66939; 66997;13 43 49.47;-40 10 40.6; 6.91; 0.352
   66946; 67004;13 43 54.27;-05 29 56.0; 6.51; 0.053
   66950; 67008;13 43 57.38;-59 14 09.5; 6.51;-0.027
   67011; 67069;13 44 44.60;-14 13 29.1; 6.90; 0.542
   67066; 67125;13 45 27.45;-48 47 30.2; 6.76; 0.540
   67137; 67195;13 46 13.91;+30 53 50.1; 6.51; 0.491
   67148; 67206;13 46 18.00;-62 27 05.7; 6.58; 0.118
   67174; 67232;13 46 36.60;-62 54 34.6; 6.60; 0.194
   67202; 67260;13 47 10.59;-52 16 09.2; 6.93; 0.020
   67212; 67270;13 47 13.23;-19 15 20.7; 6.73; 0.323
   67231; 67289;13 47 25.40;-06 42 19.4; 6.99; 0.254
   67241; 67300;13 47 31.54;+37 53 35.9; 6.99; 1.116
   67243; 67302;13 47 34.26;-71 13 52.0; 6.83;-0.039
   67279; 67338;13 48 05.09;+42 02 51.4; 6.59; 1.094
   67296; 67355;13 48 18.01;-06 50 14.4; 6.57; 0.931
   67320; 67379;13 48 34.67;+07 57 36.5; 6.81; 0.340
   67326; 67385;13 48 38.86;-02 50 25.6; 6.71; 1.446
   67330; 67389;13 48 41.83;-37 07 38.6; 6.73; 0.434
   67349; 67408;13 48 55.45;-35 42 13.5; 6.56; 0.561
   67379; 67438;13 49 16.55;-40 30 59.1; 6.95; 0.383
   67402; 67461;13 49 29.33;+06 20 38.1; 6.76; 0.083
   67411; 67470;13 49 36.15;+13 00 36.9; 6.66; 0.491
   67422; 67481;13 49 44.17;+08 24 31.0; 6.60; 0.131
   67436; 67495;13 49 52.43;+13 11 30.8; 6.65; 0.218
   67453; 67512;13 50 01.55;+78 59 44.5; 6.59; 1.136
   67462; 67521;13 50 06.25;+18 37 44.4; 6.84; 0.335
   67470; 67529;13 50 08.10;+42 33 26.2; 7.00; 0.373
   67484; 67543;13 50 23.53;+21 16 35.7; 6.82; 0.940
   67496; 67555;13 50 34.62;-19 53 52.5; 6.54; 0.510
   67519; 67578;13 50 50.82;-07 47 03.3; 6.92; 1.280
   67531; 67590;13 50 59.80;+53 17 25.5; 6.88; 0.470
   67533; 67592;13 51 00.42;+80 46 04.5; 6.67; 1.119
   67537; 67596;13 51 04.51;+34 46 21.1; 6.66; 0.116
   67614; 67673;13 51 51.09;+11 56 13.7; 6.90; 0.432
   67615; 67674;13 51 51.82;+10 08 09.5; 6.57; 1.512
   67642; 67700;13 52 02.92;-47 51 56.5; 6.94; 0.777
   67676; 67735;13 52 32.67;+16 43 44.6; 6.65; 1.520
   67686; 67744;13 52 38.84;-18 42 32.5; 6.95; 0.613
   67740; 67799;13 53 20.21;+52 19 22.8; 6.76; 1.480
   67741; 67800;13 53 20.82;+42 11 05.3; 6.86; 0.053
   67744; 67803;13 53 23.13;+33 47 12.4; 6.98; 1.485
   67829; 67888;13 54 16.09;-28 44 35.3; 6.77; 1.188
   67833; 67892;13 54 20.12;-32 26 43.6; 6.97; 0.345
   67837; 67896;13 54 21.39;-17 10 48.4; 6.59; 1.387
   67840; 67899;13 54 24.14;-54 24 43.6; 6.77; 0.931
   67849; 67908;13 54 31.68;-22 14 41.4; 6.61; 1.050
   67860; 67918;13 54 38.43;-34 35 50.5; 6.83; 0.415
   67895; 67956;13 54 59.30;-55 01 17.4; 6.97; 1.609
   67897; 67958;13 55 01.74;-19 13 02.1; 6.97; 0.964
   67919; 67980;13 55 16.32;-32 05 57.1; 6.98; 0.898
   67957; 68019;13 55 44.12;-41 59 41.7; 6.64; 1.551
   67960; 68021;13 55 44.47;-31 17 06.0; 6.53; 0.894
   67963; 68024;13 55 47.97;-09 33 35.6; 6.69; 1.550
   67974; 68035;13 55 52.39;-50 39 39.2; 6.92; 0.962
   67977; 68038;13 55 53.12;-09 45 19.1; 6.85; 0.477
   67982; 68043;13 55 54.42;-30 34 41.6; 6.96; 0.409
   67989; 68050;13 56 00.39;-03 39 42.8; 6.78; 1.375
   67993; 68054;13 56 04.62;-55 57 10.8; 6.83; 0.967
   67994; 68055;13 56 04.78;+28 40 21.1; 6.99; 0.049
   68003; 68064;13 56 09.58;+25 55 07.4; 6.78; 0.402
   68027; 68088;13 56 26.59;-52 02 08.1; 6.73; 0.291
   68038; 68099;13 56 31.26;-27 38 17.1; 6.83; 0.962
   68046; 68108;13 56 36.99;+15 53 27.5; 6.82; 0.948
   68052; 68114;13 56 43.10;-38 19 08.7; 6.97; 1.254
   68062; 68124;13 56 47.99;-46 23 09.6; 6.95;-0.126
   68084; 68146;13 57 06.30;+20 57 14.2; 6.68; 1.569
   68108; 68170;13 57 21.48;-62 29 19.6; 6.65; 0.790
   68134; 68196;13 57 42.82;+53 54 36.4; 6.94; 0.295
   68145; 68207;13 57 48.56;-49 01 08.4; 7.00; 1.057
   68205; 68267;13 58 29.84;-14 07 19.4; 6.84; 0.971
   68228; 68290;13 58 45.71;+46 35 46.5; 6.98; 1.659
   68242; 68304;13 58 55.40;+53 06 23.3; 6.83; 0.143
   68247; 68309;13 58 59.90;-06 55 30.2; 6.95; 0.975
   68336; 68398;14 00 04.69;-08 09 41.5; 6.56; 1.050
   68352; 68414;14 00 18.89;-46 07 38.1; 6.57; 0.240
   68356; 68418;14 00 23.42;+39 01 47.8; 6.63; 1.297
   68372; 68434;14 00 36.12;-26 15 57.7; 6.73; 0.473
   68412; 68474;14 01 08.35;-37 28 11.7; 6.88; 1.276
   68413; 68475;14 01 08.63;-44 11 51.5; 6.70; 0.166
   68439; 68501;14 01 22.33;+31 33 49.3; 6.87; 1.419
   68446; 68508;14 01 26.22;+09 17 55.8; 6.91; 1.392
   68474; 68536;14 01 49.39;+40 25 12.2; 6.81; 1.183
   68603; 68665;14 03 22.00;+22 29 44.9; 6.88; 0.322
   68646; 68708;14 03 56.98;+11 16 57.1; 6.70; 1.168
   68674; 68736;14 04 12.31;-41 48 44.7; 7.00; 0.490
   68690; 68752;14 04 21.50;-09 15 27.6; 6.65; 0.029
   68723; 68785;14 04 45.94;+25 49 04.8; 6.95; 0.484
   68746; 68808;14 05 14.01;-16 20 09.5; 6.56; 0.104
   68826; 68888;14 06 17.77;-08 53 30.0; 6.54; 0.018
   68851; 68913;14 06 29.60;+16 58 12.7; 6.54; 1.606
   68853; 68915;14 06 30.05;-34 53 55.3; 6.84; 1.538
   68875; 68937;14 06 41.65;-14 12 17.4; 6.57; 1.573
   68893; 68955;14 06 55.88;+28 26 16.9; 6.89; 0.998
   68896; 68958;14 06 58.26;-47 35 21.0; 6.99; 0.049
   68901; 68964;14 07 04.88;-63 26 43.2; 6.78; 1.103
   68978; 69040;14 07 56.54;+48 12 39.0; 6.80; 0.372
   69005; 69067;14 08 15.88;+24 18 54.1; 6.57; 1.499
   69030; 69092;14 08 28.99;-11 49 46.0; 6.84; 0.114
   69103; 69165;14 09 28.11;+02 47 51.3; 6.80; 1.020
   69116; 69178;14 09 37.17;+15 37 18.1; 6.87; 0.442
   69145; 69207;14 10 08.83;+68 51 48.2; 6.54; 1.240
   69151; 69213;14 10 13.07;-30 37 15.2; 6.77; 0.111
   69197; 69260;14 10 43.38;+15 17 26.7; 6.95; 1.427
   69202; 69265;14 10 47.78;+00 47 58.8; 6.85; 0.130
   69208; 69271;14 10 51.86;-32 04 32.5; 6.64; 1.189
   69232; 69295;14 11 01.33;+58 32 56.8; 6.73; 0.979
   69236; 69299;14 11 02.54;-48 46 56.2; 6.61; 0.917
   69287; 69350;14 11 37.12;+42 20 26.5; 6.88; 0.979
   69367; 69429;14 12 55.11;-40 50 00.5; 6.75;-0.012
   69386; 69449;14 13 09.80;-13 51 35.6; 6.82; 1.578
   69418; 69481;14 13 27.75;+51 47 16.4; 6.62; 0.394
   69424; 69487;14 13 34.14;-84 32 40.7; 6.78; 0.982
   69437; 69500;14 13 42.98;-11 50 18.0; 6.98; 1.016
   69454; 69517;14 13 49.47;+11 59 52.1; 6.59; 1.006
   69460; 69523;14 13 54.61;+29 06 19.6; 6.82; 0.349
   69483; 69546;14 14 11.52;+35 36 13.0; 6.91; 1.600
   69521; 69584;14 14 35.00;-66 09 14.9; 6.95;-0.022
   69528; 69591;14 14 39.67;-65 42 04.9; 6.72;-0.024
   69562; 69625;14 15 01.48;-40 54 02.3; 6.96; 1.383
   69563; 69626;14 15 01.58;+23 41 10.0; 6.78; 0.335
   69564; 69628;14 15 01.61;-61 42 24.4; 6.68; 0.233
   69587; 69650;14 15 17.01;+52 32 09.4; 6.56; 0.096
   69636; 69699;14 15 59.89;+56 41 21.7; 6.68; 0.580
   69659; 69722;14 16 18.32;-33 14 28.8; 6.57; 0.294
   69685; 69748;14 16 30.48;+55 17 54.4; 6.90; 1.153
   69691; 69753;14 16 33.92;+32 12 30.3; 6.73; 0.938
   69712; 69775;14 16 49.44;-05 38 38.4; 6.88; 0.341
   69730; 69793;14 17 03.92;+54 32 34.8; 7.00; 0.745
   69759; 69823;14 17 22.64;-09 01 21.9; 6.62; 1.267
   69762; 69825;14 17 25.52;-55 45 54.5; 6.62; 0.201
   69765; 69828;14 17 27.72;-19 57 49.3; 6.95; 0.244
   69793; 69856;14 17 46.26;+51 51 27.7; 7.00; 1.054
   69797; 69859;14 17 47.89;+55 25 31.3; 6.88; 0.034
   69841; 69904;14 18 23.81;-33 13 13.6; 6.54; 0.284
   69854; 69917;14 18 31.16;+52 02 00.0; 6.91; 0.157
   69892; 69955;14 18 55.69;+38 46 02.5; 6.86; 1.060
   69906; 69969;14 19 04.02;+19 03 55.5; 6.86; 1.082
   69909; 69972;14 19 05.36;-59 22 37.4; 6.66; 1.017
   69978; 70041;14 19 54.92;+67 46 56.9; 6.95; 0.020
   69979; 70042;14 19 57.39;-73 58 06.4; 6.58;-0.046
   70018; 70081;14 20 28.94;+00 10 55.4; 6.79; 1.219
   70045; 70108;14 20 45.08;+26 04 31.9; 6.79; 0.922
   70082; 70145;14 21 09.38;+19 10 48.7; 6.90; 1.619
   70157; 70220;14 21 58.61;-01 59 17.0; 6.82; 0.198
   70162; 70225;14 22 01.64;-28 18 30.4; 6.80; 0.964
   70198; 70261;14 22 34.76;-20 45 27.6; 6.80; 1.032
   70207; 70269;14 22 38.65;-07 46 04.3; 6.82; 0.584
   70219; 70282;14 22 46.42;-00 38 13.6; 6.74; 0.058
   70226; 70289;14 22 51.93;-39 37 26.2; 6.83; 1.420
   70283; 70346;14 23 32.09;-66 38 41.9; 6.78; 0.118
   70293; 70356;14 23 41.95;+40 50 39.8; 6.72; 0.593
   70312; 70375;14 23 55.72;-29 40 34.6; 6.93; 0.188
   70316; 70379;14 23 57.72;-16 06 06.8; 6.69; 0.091
   70324; 70386;14 24 05.72;+11 14 49.1; 6.76; 0.575
   70336; 70399;14 24 11.28;+16 16 25.1; 6.90; 0.672
   70342; 70405;14 24 14.62;-33 05 12.7; 6.80; 0.953
   70392; 70455;14 24 43.93;-40 45 18.4; 6.97;-0.053
   70420; 70483;14 25 01.04;-37 26 49.1; 6.70; 0.114
   70445; 70508;14 25 22.92;-55 01 05.4; 6.84; 0.934
   70450; 70513;14 25 27.65;-19 57 56.9; 6.98; 0.137
   70451; 70514;14 25 27.69;-28 53 43.6; 6.83; 1.085
   70455; 70518;14 25 29.91;-19 58 11.8; 6.63; 0.136
   70549; 70612;14 26 37.69;-39 31 23.4; 6.87; 0.913
   70582; 70645;14 26 58.79;-59 14 15.5; 6.87; 1.495
   70598; 70661;14 27 11.29;-66 34 04.8; 6.57; 0.102
   70608; 70671;14 27 16.83;-78 37 12.6; 6.72; 1.129
   70622; 70685;14 27 27.52;+41 01 29.9; 6.64; 0.369
   70629; 70693;14 27 31.43;-35 26 49.6; 6.89; 0.571
   70650; 70714;14 27 45.32;-13 21 33.5; 6.65; 0.425
   70653; 70716;14 27 45.49;-44 19 48.7; 6.99; 0.122
   70721; 70784;14 28 31.99;-10 00 15.2; 6.61; 1.408
   70737; 70800;14 28 46.02;+25 51 14.1; 6.67; 1.551
   70739; 70802;14 28 48.17;-05 13 07.6; 6.60; 1.114
   70753; 70816;14 28 56.46;+03 43 10.4; 6.84; 1.615
   70761; 70824;14 29 00.55;-56 08 12.7; 6.90; 0.514
   70781; 70844;14 29 15.04;+44 15 43.6; 6.52; 1.017
   70794; 70857;14 29 22.57;+80 48 36.6; 6.88; 0.774
   70803; 70866;14 29 31.14;-26 00 48.1; 6.88; 1.495
   70841; 70904;14 29 58.38;-56 07 52.3; 6.97; 0.233
   70855; 70918;14 30 09.99;-43 51 49.8; 6.91; 0.126
   70882; 70945;14 30 40.47;-22 27 39.3; 6.92; 0.167
   70925; 70988;14 31 11.32;-40 23 11.0; 6.75; 0.963
   70945; 71008;14 31 20.45;+43 22 56.4; 6.73; 0.095
   70991; 71055;14 31 50.12;-76 16 26.2; 6.93; 1.028
   71053; 71116;14 32 33.09;-56 53 15.7; 6.71; 0.694
   71083; 71146;14 33 03.01;+05 19 24.5; 6.85; 0.911
   71116; 71179;14 33 27.46;-33 18 57.9; 6.94; 1.033
   71129; 71192;14 33 35.47;+65 23 43.1; 6.60; 0.504
   71143; 71206;14 33 44.66;+43 00 27.7; 6.75; 0.160
   71146; 71209;14 33 46.45;-79 57 18.8; 6.66; 1.118
   71154; 71216;14 33 49.73;-67 37 03.5; 6.94;-0.065
   71172; 71235;14 34 05.05;+46 47 11.3; 6.51; 0.062
   71176; 71239;14 34 07.98;-42 05 57.2; 6.59; 0.078
   71264; 71327;14 35 10.72;-46 27 43.0; 6.89;-0.010
   71286; 71350;14 35 29.49;-73 41 39.4; 6.96; 1.572
   71289; 71348;14 35 30.80;-89 46 18.1; 6.82; 1.698
   71319; 71382;14 35 50.00;-46 48 56.7; 6.78; 0.933
   71389; 71452;14 36 43.67;+12 52 41.3; 6.98; 0.087
   71403; 71466;14 36 55.90;+42 49 52.7; 6.59; 0.505
   71429; 71492;14 37 11.97;-62 00 39.2; 6.78; 1.005
   71457; 71520;14 37 36.55;-43 06 40.7; 6.51; 0.958
   71475; 71538;14 37 54.90;-48 01 24.7; 6.65;-0.010
   71485; 71548;14 38 00.77;+51 34 42.0; 6.95; 0.468
   71507; 71570;14 38 13.45;-45 52 18.4; 6.83; 1.167
   71514; 71577;14 38 17.68;-49 54 03.9; 6.51; 0.031
   71522; 71585;14 38 24.94;-35 16 35.2; 6.78; 0.159
   71566; 71629;14 38 59.68;-59 08 26.8; 6.53; 0.512
   71569; 71632;14 39 00.42;-10 33 17.3; 6.73; 1.005
   71605; 71668;14 39 31.67;-68 12 12.1; 6.73;-0.030
   71620; 71682;14 39 40.93;-26 43 25.1; 6.99; 0.466
   71661; 71724;14 40 17.66;-40 50 29.9; 6.65;-0.069
   71663; 71725;14 40 18.45;+87 12 53.0; 6.91; 1.460
   71664; 71727;14 40 19.29;-45 47 37.6; 6.61;-0.112
   71682; 71745;14 40 32.15;-14 02 48.3; 6.97; 1.629
   71792; 71855;14 41 52.19;-75 08 22.0; 6.73; 0.707
   71810; 71873;14 42 02.27;-12 14 05.6; 6.82; 1.216
   71827; 71890;14 42 13.21;-32 46 12.0; 6.63; 0.912
   71868; 71931;14 42 42.45;+14 42 30.9; 6.59; 0.366
   71871; 71934;14 42 45.10;-19 18 42.3; 6.87; 1.200
   71912; 71975;14 43 15.34;-47 34 13.7; 6.91;-0.051
   71934; 71997;14 43 25.83;-09 41 58.8; 6.52; 1.023
   71966; 72029;14 44 03.51;+61 05 54.1; 6.87; 0.409
   71984; 72047;14 44 13.80;-08 15 07.6; 6.64; 0.431
   71985; 72048;14 44 14.28;-69 40 26.0; 6.99; 0.553
   71993; 72056;14 44 17.74;-24 07 43.5; 6.82; 1.420
   72003; 72066;14 44 28.17;+45 11 09.7; 6.73; 0.292
   72019; 72082;14 44 45.07;-09 42 14.2; 6.86; 0.427
   72040; 72103;14 44 59.09;-61 31 17.9; 6.97; 2.010
   72079; 72142;14 45 21.56;+10 35 56.3; 6.91; 1.059
   72099; 72162;14 45 36.13;+08 09 35.2; 6.97; 1.022
   72120; 72183;14 45 51.79;+13 06 05.7; 6.57; 1.291
   72129; 72192;14 45 57.66;-44 52 02.9; 6.91; 0.053
